"","StudyID","ES_ID","Title","Authors","Year","DOI","Biodiv_ES","Biodiv_ESMetric","Biodiv_measure","Biodiv_sample_size","Biodiv_CI_lower","Biodiv_CI_upper","Taxonomic_group","Management_raw","Management_grouped","Management_raw2","Biodiv_SE","Biodiv_SD","BiodivConfidenceInterval","Scenario_raw","Control.TreatPairedYN","LandSharingSparing","BiodivYieldPairedYN","Control_Reference_state","Comparison","CropType","SustainableTreatYN","Strategy","Biodiv_SE_calc","Biodiv_CI_upper_calc","Biodiv_CI_lower_calc","Biodiv_CI_up","Biodiv_CI_low","Biodiv_SE2","Biodiv_EffSize","Biodiv_SE3","Biodiv_ES_homog","Biodiv_CI_up_homog","Biodiv_CI_low_homog"
"1","FEB23_02","ES001","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-1.253852031,"HedgesD","Ab",221,NA,NA,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",0.2,2.50570514301004,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,-0.923490173822019,-1.58421388817798,-0.923490173822019,-1.58421388817798,0.16855196794795,-1.253852031,0.16855196794795,-1.253852031,-0.923490173822019,-1.58421388817798
"2","FEB23_02","ES002","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-1.42,"HedgesD","Ab",100,-2.09,-0.84,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,3.18877551020408,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,-0.84,-2.09,0.318877551020408,-1.42,0.318877551020408,-1.42,-0.84,-2.09
"3","FEB23_02","ES003","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-1.3,"HedgesD","Ab",43,-1.87,-0.82,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,1.75645674758089,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,-0.82,-1.87,0.267857142857143,-1.3,0.267857142857143,-1.3,-0.82,-1.87
"4","FEB23_02","ES004","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-2.43,"HedgesD","Ab",23,-4.07,-0.99,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,3.76815333974571,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,-0.99,-4.07,0.785714285714286,-2.43,0.785714285714286,-2.43,-0.99,-4.07
"5","FEB23_02","ES005","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-0.49,"HedgesD","Ab",8,-1.16,0.03,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,0.858629662869379,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,0.03,-1.16,0.303571428571429,-0.49,0.303571428571429,-0.49,0.03,-1.16
"6","FEB23_02","ES006","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-0.86,"HedgesD","Ab",29,-2.01,0.03,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,2.80248372616183,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,0.03,-2.01,0.520408163265306,-0.86,0.520408163265306,-0.86,0.03,-2.01
"7","FEB23_02","ES007","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",0.01,"HedgesD","Ab",17,-0.12,0.13,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,0.262953164899085,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,0.13,-0.12,0.0637755102040816,0.01,0.0637755102040816,0.01,0.13,-0.12
"8","FEB23_02","ES008","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",1.375018163,"HedgesD","Ab",148,NA,NA,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",0.25,2.5685480180502,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,1.78883952215238,0.961196803847618,1.78883952215238,0.961196803847618,0.211133346506318,1.375018163,0.211133346506318,1.375018163,1.78883952215238,0.961196803847618
"9","FEB23_02","ES009","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",2.26,"HedgesD","Ab",49,0.86,3.8,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,5.25,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,3.8,0.86,0.75,2.26,0.75,2.26,3.8,0.86
"10","FEB23_02","ES010","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",0.04,"HedgesD","Ab",17,-0.19,0.31,"invertebrates","Use plants that support natural enemies and suppress herbivores","diversification","diversification",NA,0.525906329798171,"95% confidence interval","Less vs More plant diversity","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","all crops","Y","Diversification",NA,NA,NA,0.31,-0.19,0.127551020408163,0.04,0.127551020408163,0.04,0.31,-0.19
