,StudyID,ES_ID,Taxonomic_group,Scenario_raw,Biodiv_ES,Biodiv_ESMetric,Biodiv_measure,Biodiv_sample_size,Biodiv_CI_lower,Biodiv_CI_upper,Management_grouped,Biodiv_SE,Biodiv_SD,Biodiv_ConfidenceInterval,Prod_ES,Prod_ESMetric,Prod_measure,Prod_sample_size,Prod_CI_lower,Prod_CI_upper,Subgroup,Prod_SD,Prod_SE,Control.TreatPairedYN,LandSharingSparing,BiodivYieldPairedYN.i.e..same.paper.,Control_Reference_state,Comparison,Management_raw,CropType,SustainableTreatYN,Strategy,AboveBelowGround,Biodiv_SE_calc,Prod_SE_calc,Biodiv_CI_upper_calc,Biodiv_CI_lower_calc,Prod_CI_upper_calc,Prod_CI_lower_calc,Biodiv_CI_up,Biodiv_CI_low,Prod_CI_up,Prod_CI_low,Biodiv_SE2,Prod_SE2,Biodiv_EffSize,Prod_EffSize,Biodiv_SE3,Prod_SE3,Biodiv_ES_homog,Biodiv_CI_up_homog,Biodiv_CI_low_homog,Prod_ES_homog,Prod_CI_up_homog,Prod_CI_low_homog
1,FEB23_10,ES004,all,Compare different intensity levels,-8.756476684,Percentage change,SR,292,NA,NA,lower intensity,2.7,0.384079649,95% confidence interval,20.15544041,Percentage change,yield,157,NA,NA,,0.589903012,5.71,Y,Sh,Y,LessIntensiveManagement,YesNoConventionalIntensification,Compare different intensity levels,all crops,N,De-Intensification,Above,NA,NA,-4.301188437,-13.21176493,29.60366319,10.70721763,-0.054549448,-0.128726899,0.105714738,10.70721763,2.273106249,4.820521824,-0.091638173,0.183616055,0.022476561,0.047079386,0.091638173,0.054549448,0.128726899,-0.183616055,-0.105714738,-10.70721763
2,FEB23_132,ES005,fungi,No nutrient enrichment,-0.089189189,LRR,Sh,127,NA,NA,reduced resource addition,0.02,0.190549576,95% confidence interval,-0.285440613,LRR,biomass,100,NA,NA,biomass-AMF,0.338855338,0.04,Y,Sh,Y,NoNutrientAddition,NoYesNutrientAddition,No nutrient enrichment,all crops,N,De-Intensification,Below,NA,NA,-0.056048449,-0.122329929,-0.219024967,-0.351856259,-0.056048449,-0.122329929,-0.219024967,-0.351856259,0.016908541,0.033885534,-0.089189189,-0.285440613,0.016908541,0.033885534,0.089189189,0.056048449,0.122329929,0.285440613,0.219024967,0.351856259
3,FEB23_597,ES036,all,Addition or no addition of nutrients,-0.216312057,LRR,SR,133,NA,NA,reduced resource addition,0.04,0.389866344,95% confidence interval,-0.649253731,RR++,biomass,412,NA,NA,above-ground biomass,0.512178161,0.03,Y,Sh,N,NoNutrientAddition,NoYesNutrientAddition,"Nutrient, phosphorus and both on degraded Chinese grasslands",all crops,N,De-Intensification,Above,NA,NA,-0.150052886,-0.282571228,-0.599796646,-0.698710816,-0.150052886,-0.282571228,-0.599796646,-0.698710816,0.033805699,0.025233207,-0.216312057,-0.649253731,0.033805699,0.025233207,0.216312057,0.150052886,0.282571228,0.649253731,0.599796646,0.698710816
4,JB005,ES042,invertebrates,tillage vs no tillage,1.53,RR,Ab,3,NA,NA,lower intensity,0.357957167,-1.08895375,95% confidence interval,0.99,RR,yield,50,NA,NA,yes/no tillage,-28.76672197,0.02,Y,Sh,N,NoTillage,YesNoTillage,number of earthworms tillage vs no tillage,all crops,N,De-Intensification,Below,0.357957167,0.016970563,2.575229766,0.484770234,1.023531018,0.956468982,2.575229766,0.484770234,1.023531018,0.956468982,0.533280493,0.017107662,0.425267735,-0.010050336,-0.62870774,-4.068228836,-0.425267735,-2.575229766,-0.484770234,0.010050336,-1.023531018,-0.956468982
5,FEB23_02,ES001,invertebrates,Less vs More plant diversity,1.375018163,HedgesD,Ab,148,NA,NA,diversification,0.25,2.568548018,95% confidence interval,-0.695767855,HedgesD,yield,87,NA,NA,yield,2.294735026,0.29,Y,Sh,Y,Monocultures,MonoculturesvsPolycultures,Use plants that support natural enemies and suppress herbivores,all crops,Y,Diversification,Above,NA,NA,1.788839522,0.961196804,-0.213565875,-1.177969835,1.788839522,0.961196804,-0.213565875,-1.177969835,0.211133347,0.246021419,1.375018163,-0.695767855,0.211133347,0.246021419,1.375018163,1.788839522,0.961196804,-0.695767855,-0.213565875,-1.177969835
6,FEB23_224,ES011,animals,Monoculture vs Agroforestry,4.672897196,HedgesG,SR,5,NA,NA,diversification,1.62,3.940033682,95% confidence interval,9.0585242,HedgesG,yield,8,NA,NA,SystemYield,30.92175649,11.31,Y,Sh,N,Monoculture,MonoculturevsAgroforestry,Monoculture vs Agroforestry,cocoa,Y,Diversification,Above,NA,NA,8.12648899,1.219305402,30.48620822,-12.36915982,8.12648899,1.219305402,30.48620822,-12.36915982,1.76203663,10.93249185,4.672897196,9.0585242,1.76203663,10.93249185,4.672897196,8.12648899,1.219305402,9.0585242,30.48620822,-12.36915982
7,FEB23_307,ES021,all,cover crop vs bare soil or conventional management,0.088409835,LRR,Biodiversity,11,NA,NA,diversification,0.03,0.092008982,95% confidence interval,-0.113269087,LRR,cover,23,NA,NA,ProvisioningES,0.294111969,0.07,Y,Sh,Ysome,BareSoil/NoCoverCrop,BareSoilvsCoverCropsOnVineyardGround,Effect of cover crops in vineyards,orchard/vineyard,Y,Diversification,Both,NA,NA,0.142783669,0.034036001,0.006931019,-0.233469193,0.142783669,0.034036001,0.006931019,-0.233469193,0.027741752,0.061326585,0.088409835,-0.113269087,0.027741752,0.061326585,0.088409835,0.142783669,0.034036001,-0.113269087,0.006931019,-0.233469193
8,FEB23_81,ES039,all,conventional vs agroforestry,0.297,LRR,Biodiversity,65,0.19,0.41,diversification,0.15,0.452473649,95% confidence interval,-0.532,LRR,biomass,20,-0.73,-0.33,,0.456340404,0.11,N,Sh,N,Agriculture,AgriculturevsAgroforestry,conventional (agricultural or pasture or forestry land) vs agroforestry,agroforestry systems,Y,Diversification,Both,NA,NA,0.547351954,0.046648046,-0.341795391,-0.722204609,0.41,0.19,-0.33,-0.73,0.056122449,0.102040816,0.297,-0.532,0.056122449,0.102040816,0.297,0.41,0.19,-0.532,-0.33,-0.73
9,JB005,ES043,invertebrates,crop rotation vs monoculture,1.73,RR,Ab,2,NA,NA,diversification,1.096015511,1.783983601,95% confidence interval,1.31,RR,yield,14,NA,NA,crop rotation vs monocult,-8.63841169,0.11,Y,Sh,N,Monoculture,MonoculturevsCropRotation,number of earthworms crop rotation vs monoculture,all crops,Y,Diversification,Below,1.096015511,0.106904497,8.649969592,-5.189969592,1.504802674,1.115197326,8.649969592,-5.189969592,1.504802674,1.115197326,3.53059673,0.099389119,0.548121409,0.270027137,1.261466902,-2.308712636,0.548121409,8.649969592,-5.189969592,0.270027137,1.504802674,1.115197326
10,JB073,ES045,invertebrates,monoculture vs polyculture,0.251219512,LRR,Biocontrol,54,NA,NA,diversification,0.14,0.878727975,95% confidence interval,0.516,LRR,yield,39,NA,NA,predators of herbivores - maize substitutive,0.698337597,0.13,Y,Sh,Y,Monoculture,MonoculturevsPolyculture,compare natural biocontrol in crops with >2 different levels of biodiversity,all crops,Y,Diversification,Above,0.142886902,NA,0.485595785,0.016843239,0.73517408,0.29682592,0.485595785,0.016843239,0.73517408,0.29682592,0.119579731,0.11182351,0.251219512,0.516,0.119579731,0.11182351,0.251219512,0.485595785,0.016843239,0.516,0.73517408,0.29682592
