"","StudyID","ES_ID","Taxonomic_group","Scenario_raw","Title","Authors","Year","DOI","Prod_ES","Prod_ESMetric","Prod_measure","Prod_sample_size","Prod_CI_lower","Prod_CI_upper","Subgroup","CropType_grouped","CropType","Prod_SE","Prod_SD","Prod_ConfidenceInterval","Notes","Management_grouped","Management_raw2","Control.TreatPairedYN","LandSharingSparing","BiodivYieldPairedYN.i.e..same.paper.","Control_Reference_state","Comparison","Management_raw","SustainableTreatYN","Strategy","Prod_SE_calc","Prod_CI_upper_calc","Prod_CI_lower_calc","Prod_CI_up","Prod_CI_low","Prod_SE2","Prod_EffSize","Prod_SE3","Prod_ES_homog","Prod_CI_up_homog","Prod_CI_low_homog"
"1","FEB23_02","ES001","invertebrates","Less vs More plant diversity","Does plant diversity benefit agroecosystems? A synthetic review","Letourneauetal2011",2011,"http://dx.doi.org/10.1890/09-2026.1",-0.695767855,"HedgesD","yield",87,NA,NA,"yield","cropland","all crops",NA,NA,"95% confidence interval","","diversification","diversification","Y","Sh","Y","Monocultures","MonoculturesvsPolycultures","Use plants that support natural enemies and suppress herbivores","Y","Diversification",NA,NA,NA,NA,NA,NA,-0.695767855,NA,-0.695767855,NA,NA
"2","FEB23_06","ES002","all","TreatNoTreat","Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis","DeMalachetal2017",2017,"http://dx.doi.org/10.1111/geb.12603",1.256097561,"LRR","biomass",38,NA,NA,"TB-W-all","grassland","grassland",0.29,1.53876715538676,"95% confidence interval","TB-W-all","reduced resource addition","nutrient addition(water)","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","Addition of water, nitrogen and both","N","De-Intensification",NA,1.74535471068292,0.766840411317084,1.74535471068292,0.766840411317084,0.249620994736182,1.256097561,0.249620994736182,-1.256097561,-1.74535471068292,-0.766840411317084
"3","FEB23_07","ES003","all","No warming, abandonment (no mowing)","Mowing and warming effects on grassland species richness and harvested biomass: meta-analyses","Pisedduetal2021",2021,"http://dx.doi.org/10.1007/s13593-021-00722-y",-0.23,"LRR","biomass",18,-0.31,-0.14,"","grassland","grassland",0.04,0.183992070614867,"95% confidence interval","effect of mowing on harvested biomass","lower intensity","vegetation removal","Y","Sh","Y","Abandoned","AbandonedvsMowing","Mowing, warming","N","De-Intensification",NA,-0.160415730956997,-0.299584269043003,-0.14,-0.31,0.0433673469387755,-0.23,0.0433673469387755,0.23,0.14,0.31
"4","FEB23_10","ES004","all","Compare different intensity levels","Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmannetal2019",2019,"http://dx.doi.org/10.1111/gcb.14606",20.15544041,"Percentage change","yield",157,NA,NA,"","cropland","all crops",5.71,0.589903011533935,"95% confidence interval","","lower intensity","(de)intensification","Y","Sh","Y","LessIntensiveManagement","YesNoConventionalIntensification","Compare different intensity levels","N","De-Intensification",NA,29.6036631852855,10.7072176347145,0.105714737656787,10.7072176347145,4.82052182412525,0.183616055319084,0.0470793856613186,-20.15544041,-0.105714737656787,-10.7072176347145
"5","FEB23_132","ES005","fungi","No nutrient enrichment","Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality","Maetal2020",2020,"http://dx.doi.org/10.1111/nph.17077",-0.285440613,"LRR","biomass",100,NA,NA,"biomass-AMF","cropland","all crops",0.04,0.338855337962651,"95% confidence interval","extraradical biomass-AMF","reduced resource addition","(de)intensification","Y","Sh","Y","NoNutrientAddition","NoYesNutrientAddition","No nutrient enrichment","N","De-Intensification",NA,-0.21902496675932,-0.35185625924068,-0.21902496675932,-0.35185625924068,0.0338855337962651,-0.285440613,0.0338855337962651,0.285440613,0.21902496675932,0.35185625924068
"6","FEB23_169","ES040","all","fertilized vs non-fertilized","Nitrogen effects on grassland biomass production and biodiversity are stronger than those of phosphorus","Lietal2022",2022,"https://doi.org/10.1016/j.envpol.2022.119720",1.409722222,"HedgesD++","biomass",132,0.83,2.04,"","grassland","grassland",NA,3.54638816444439,"95% confidence interval","above-ground net primary production (ANPP)","reduced resource addition","nutrient addition(nitrogen)","N","Sh","Ysome","NoNutrientAddition","NoYesNutrientAddition","nutrients on grasslands","N","De-Intensification",NA,NA,NA,2.04,0.83,0.308673469387755,1.409722222,0.308673469387755,-1.409722222,-2.04,-0.83
"7","FEB23_169","ES041","all","fertilized vs non-fertilized","Nitrogen effects on grassland biomass production and biodiversity are stronger than those of phosphorus","Lietal2022",2022,"https://doi.org/10.1016/j.envpol.2022.119720",0.701388889,"HedgesD++","biomass",132,0.32,1.05,"Phosphorus","grassland","grassland",NA,2.13955649590447,"95% confidence interval","above-ground net primary production (ANPP)","reduced resource addition","nutrient addition(phosphorus)","N","Sh","Ysome","NoNutrientAddition","NoYesNutrientAddition","nutrients on grasslands","N","De-Intensification",NA,NA,NA,1.05,0.32,0.186224489795918,0.701388889,0.186224489795918,-0.701388889,-1.05,-0.32
"8","FEB23_169","ES042","all","fertilized vs non-fertilized","Nitrogen effects on grassland biomass production and biodiversity are stronger than those of phosphorus","Lietal2022",2022,"https://doi.org/10.1016/j.envpol.2022.119720",0.409722222,"HedgesD++","biomass",132,0.15,0.64,"NxP","grassland","grassland",NA,1.43614066163451,"95% confidence interval","above-ground net primary production (ANPP)","reduced resource addition","nutrient addition(nitrogen+phosphorus)","N","Sh","Ysome","NoNutrientAddition","NoYesNutrientAddition","nutrients on grasslands","N","De-Intensification",NA,NA,NA,0.64,0.15,0.125,0.409722222,0.125,-0.409722222,-0.64,-0.15
"9","FEB23_224","ES008","animals","Monoculture vs Agroforestry","Cocoa agroforestry systems versus monocultures: a multi-dimensional meta-analysis","Nietheretal2020",2020,"http://dx.doi.org/10.1088/1748-9326/abb053",9.0585242,"HedgesG","yield",8,NA,NA,"SystemYield","(agro)forestry","agroforestry systems",4,10.9360765644906,"95% confidence interval","","diversification","diversification","Y","Sh","N","Monoculture","MonoculturevsAgroforestry","Monoculture vs Agroforestry","Y","Diversification",NA,16.63683862036,1.48020977963998,16.63683862036,1.48020977963998,3.86648694916328,9.0585242,3.86648694916328,9.0585242,16.63683862036,1.48020977963998
"10","FEB23_242","ES010","all","Plots with N vs plots without N","Cumulative nitrogen input drives species loss in terrestrial ecosystems","DeSchrijveretal2011",2011,"http://dx.doi.org/10.1111/j.1466-8238.2011.00652.x",0.184,"LRR","biomass",97,NA,NA,"","cropland","all crops",0.13,1.08495513626644,"95% confidence interval","","reduced resource addition","nutrient addition(nitrogen)","Y","Sh","Ysome","NoNutrientAddition","NoYesNutrientAddition","Plots with N vs plots without N","N","De-Intensification",NA,0.399914587242229,-0.031914587242229,0.399914587242229,-0.031914587242229,0.110160503695015,0.184,0.110160503695015,-0.184,-0.399914587242229,0.031914587242229
